순번,등록일자,지역,유형,장프,티켓구분,공연명,단체명,공연기간,공연장소
311,2019-06-27,서울,공연,아동극,무료티켓,[서울]어린이과학뮤지컬<참 잘했어요>,콘텐츠79,2019-07-05~2019-09-29,윤당아트홀 1관
312,2019-05-20,부산,공연,콘서트,할인티켓,[부산]포레스텔라 2집 발매 전국투어 콘서트<미스티크>,(주)월드쇼마켓,2019-07-06~2019-07-06,벡스코 오디토리움
313,2019-06-12,부산,공연,오페라,무료티켓,[부산]오페라<라 트라비아타>(객석나눔),을숙도문화회관,2019-07-06~2019-07-06,을숙도문화회관 대공연장
314,2019-07-09,서울,공연,연극,무료티켓,"[서울]2019 제3회 미스터리 스릴러전<49,50>(객석나눔)",(주)문화공감공존,2019-07-10~2019-07-13,소극장 혜화당
315,2019-07-09,서울,공연,연극,할인티켓,"[서울]2019 제3회 미스터리 스릴러전<49,50>",(주)문화공감공존,2019-07-10~2019-07-14,소극장 혜화당
316,2019-06-24,서울,공연,콘서트,할인티켓,"[서울]Bursters 2019 World Tour：Seoul, Korea",공연생각,2019-07-11~2019-07-11,홍대 KT＆G 상상마당 라이브홀
317,2019-06-18,부산,공연,콘서트,할인티켓,[부산]재즈 와인에 빠지다 132nd ,문화기획단 무대공감,2019-07-12~2019-07-12,해운대문화회관 해운홀(대공연장)
318,2019-06-20,서울,공연,국악,무료티켓,[서울]제2회 마포국악페스티벌 <온고지신> - 월담: 쓱 넘어오세요(객석나눔),(재)마포문화재단,2019-07-12~2019-07-12,마포아트센터 플레이맥
319,2019-06-20,서울,공연,국악,할인티켓,[서울]제2회 마포국악페스티벌 <온고지신> - 월담: 쓱 넘어오세요,(재)마포문화재단,2019-07-12~2019-07-12,마포아트센터 플레이맥
320,2019-06-26,경기,공연,발레/무용,무료티켓,[경기]현대무용<바디콘서트>(객석나눔),과천시시설관리공단,2019-07-12~2019-07-12,과천시민회관 소극장
321,2019-06-11,서울,공연,연극,무료티켓,[서울]충격실화 공포연극<괴담>(객석나눔),팀플레이예술기획(주),2019-07-12~2019-09-01,지즐 소극장
322,2019-06-11,서울,공연,연극,할인티켓,[서울]충격실화 공포연극<괴담>,팀플레이예술기획(주),2019-07-12~2019-09-01,지즐 소극장
323,2019-06-14,부산,공연,오페라,할인티켓,[부산]오페라<봄봄＆아리랑 난장>,그랜드오페라단,2019-07-13~2019-07-13,부산문화회관 중극장
324,2019-06-24,경북,공연,아동극,무료티켓,[경북]판타지 어드벤처 가족극<토끼전>(객석나눔),재단법인 포항문화재단,2019-07-13~2019-07-13,포항시청 문화동 대잠홀
325,2019-07-09,울산,공연,콘서트,할인티켓,[울산]화제의 미스트롯트9 전국투어 콘서트,주식회사 케이팝뱅크,2019-07-13~2019-07-13,KBS울산홀
326,2019-07-10,울산,공연,콘서트,무료티켓,[울산]화제의 미스트롯트9 전국투어 콘서트(객석나눔),주식회사 케이팝뱅크,2019-07-13~2019-07-13,KBS울산홀
327,2019-06-13,서울,공연,뮤지컬,할인티켓,[서울]뮤지컬<천로역정>,조이피플,2019-07-13~2019-08-31,북촌아트홀
328,2019-06-21,서울,공연,클래식,무료티켓,[서울]육지은 바이올린 독주회 - French Chic(객석나눔),예인예술기획,2019-07-14~2019-07-14,금호아트홀 연세
329,2019-07-09,경남,공연,콘서트,할인티켓,[경남]화제의 미스트롯트9 전국투어 콘서트 - 창원,주식회사 케이팝뱅크,2019-07-14~2019-07-14,MBC경남홀
330,2019-07-10,경남,공연,콘서트,무료티켓,[경남]화제의 미스트롯트9 전국투어 콘서트 - 창원(객석나눔),주식회사 케이팝뱅크,2019-07-14~2019-07-14,MBC경남홀
331,2019-06-21,서울,공연,국악,무료티켓,[서울]제2회 마포국악페스티벌 <온고지신> - 아름다운 조우(객석나눔),(재)마포문화재단,2019-07-16~2019-07-16,마포아트센터 아트홀맥
332,2019-06-21,서울,공연,국악,할인티켓,[서울]제2회 마포국악페스티벌 <온고지신> - 아름다운 조우,(재)마포문화재단,2019-07-16~2019-07-16,마포아트센터 아트홀맥
333,2019-07-05,서울,공연,클래식,무료티켓,[서울]나유경 첼로 독주회(객석나눔),(주)마스트미디어,2019-07-16~2019-07-16,일신홀
334,2019-07-09,서울,공연,뮤지컬,무료티켓,[서울]뮤지컬<공룡이 살아있다>(객석나눔),국립박물관문화재단,2019-07-16~2019-07-18,국립중앙박물관 극장 용
335,2019-07-12,전북,공연,뮤지컬,무료티켓,[전북]2019 전북관광브랜드공연 뮤지컬<홍도1589>(객석나눔),(재)전라북도문화관광재단,2019-07-16~2019-08-31,전라북도예술회관 대공연장
336,2019-07-12,전북,공연,뮤지컬,할인티켓,[전북]2019 전북관광브랜드공연 뮤지컬<홍도1589>,(재)전라북도문화관광재단,2019-07-16~2019-08-31,전라북도예술회관 대공연장
337,2019-07-03,경기,공연,아동극,무료티켓,[경기]2019 경기인형극제 in Suwon <구렁덩덩 신선비>(객석나눔),사단법인 경기인형극진흥회,2019-07-17~2019-07-17,경기상상캠퍼스 대교육장
338,2019-07-03,경기,공연,아동극,무료티켓,[경기]2019 경기인형극제 in Suwon <목수장이 엘리>(객석나눔),사단법인 경기인형극진흥회,2019-07-17~2019-07-17,경기상상캠퍼스 M3 멀티벙커
339,2019-06-17,인천,공연,뮤지컬,무료티켓,[인천]브로드웨이 댄스뮤지컬<번더플로어>(객석나눔),인천광역시문화예술회관,2019-07-17~2019-07-18,인천문화예술회관 대공연장
340,2019-06-17,인천,공연,뮤지컬,할인티켓,[인천]브로드웨이 댄스뮤지컬<번더플로어>,인천광역시문화예술회관,2019-07-17~2019-07-18,인천문화예술회관 대공연장
341,2019-07-03,서울,공연,기타,무료티켓,[서울]詩를 입은 음악극 詩리즈 <시인의 나라 - 새로운 길>(객석나눔),주식회사 이비컴퍼니,2019-07-17~2019-07-20,남산골한옥마을 서울남산국악당
342,2019-07-03,서울,공연,기타,할인티켓,[서울]詩를 입은 음악극 詩리즈 <시인의 나라 - 새로운 길>,주식회사 이비컴퍼니,2019-07-17~2019-07-20,남산골한옥마을 서울남산국악당
343,2019-07-09,서울,공연,연극,무료티켓,[서울]2019 제3회 미스터리 스릴러전<위험한 거래>(객석나눔),(주)문화공감공존,2019-07-17~2019-07-20,소극장 혜화당
344,2019-07-09,서울,공연,연극,할인티켓,[서울]2019 제3회 미스터리 스릴러전<위험한 거래>,(주)문화공감공존,2019-07-17~2019-07-21,소극장 혜화당
345,2019-07-11,대구,공연,연극,무료티켓,[대구]2019 힐링로코 연극<나무꾼의 옷을 훔친 선녀>(객석나눔),사단법인 공연제작 엑터스토리,2019-07-17~2019-07-28,예술극장 엑터스토리
346,2019-07-11,대구,공연,연극,할인티켓,[대구]2019 힐링로코 연극<나무꾼의 옷을 훔친 선녀>,사단법인 공연제작 엑터스토리,2019-07-17~2019-07-28,예술극장 엑터스토리
347,2019-07-10,부산,공연,전통,무료티켓,[부산]천생연분 시즌Ⅱ<붉은 머리 학 이야기>(객석나눔),국립부산국악원,2019-07-17~2019-08-14,국립부산국악원 예지당(소극장)
348,2019-07-08,서울,공연,콘서트,무료티켓,[서울]SAZA최우준 3rd 앨범발매 기념 콘서트(객석나눔),SAZA최우준,2019-07-18~2019-07-18,홍대 하나투어 브이홀
349,2019-06-21,서울,공연,국악,무료티켓,[서울]제2회 마포국악페스티벌 <온고지신> - 국악 실크로드(객석나눔),(재)마포문화재단,2019-07-19~2019-07-19,마포아트센터 플레이맥
350,2019-06-21,서울,공연,국악,할인티켓,[서울]제2회 마포국악페스티벌 <온고지신> - 국악 실크로드,(재)마포문화재단,2019-07-19~2019-07-19,마포아트센터 플레이맥
351,2019-07-03,경기,공연,아동극,무료티켓,[경기]2019 경기인형극제 in Suwon <평강공주와 온달바보>(객석나눔),사단법인 경기인형극진흥회,2019-07-19~2019-07-19,경기상상캠퍼스 대교육장
352,2019-07-04,서울,공연,클래식,무료티켓,[서울]코리안심포니오케스트라 <클래식 히어로Ⅰ>(객석나눔),(재)코리안심포니오케스트라,2019-07-19~2019-07-19,예술의전당 콘서트홀
353,2019-07-12,서울,공연,콘서트,무료티켓,[서울]김규하 블루스밴드 콘서트(객석나눔),한국블루스소사이어티,2019-07-19~2019-07-19,코리아블루스씨어터
354,2019-06-24,서울,공연,연극,무료티켓,[서울]망원동 브라더스(객석나눔),(주)씨어터오,2019-07-19~2019-07-21,예그린씨어터
355,2019-07-10,서울,공연,발레/무용,무료티켓,[서울]국립현대무용단<쌍쌍>(객석나눔),(재)국립현대무용단,2019-07-19~2019-07-21,예술의전당 CJ 토월극장
356,2019-06-20,경기,공연,퍼포먼스,할인티켓,[경기]익스트림 퍼포먼스<플라잉> - 과천,마인드 달,2019-07-19~2019-08-25,국립과천과학관 어울림홀
357,2019-06-25,서울,공연,국악,무료티켓,[서울]제2회 마포국악페스티벌 <온고지신> - 4인놀이(객석나눔),(재)마포문화재단,2019-07-20~2019-07-20,마포아트센터 플레이맥
358,2019-06-25,부산,공연,오페라,무료티켓,[부산]국립오페라단 콘서트 오페라<마술피리>(객석나눔),을숙도문화회관,2019-07-20~2019-07-20,을숙도문화회관 대공연장
359,2019-06-25,서울,공연,국악,할인티켓,[서울]제2회 마포국악페스티벌 <온고지신> - 4인놀이,(재)마포문화재단,2019-07-20~2019-07-20,마포아트센터 플레이맥
360,2019-07-17,전북,공연,콘서트,할인티켓,[전북]화제의 미스트롯트9 전국투어 콘서트 - 익산,주식회사 케이팝뱅크,2019-07-20~2019-07-20,익산예술의전당 대공연장
361,2019-07-18,서울,공연,콘서트,무료티켓,[서울]CR 태규 콘서트(객석나눔),한국블루스소사이어티,2019-07-20~2019-07-20,코리아블루스씨어터
362,2019-06-17,대구,공연,뮤지컬,할인티켓,[대구]브로드웨이 댄스뮤지컬<번더플로어>,(주)TBC,2019-07-20~2019-07-21,대구오페라하우스
363,2019-06-20,부산,공연,퍼포먼스,무료티켓,[부산]넌버벌 퍼포먼스<플라이팬(FLY-PAN)>(객석나눔),(주)화랑엔터테인먼트,2019-07-20~2019-07-21,KBS부산홀
364,2019-06-20,부산,공연,퍼포먼스,할인티켓,[부산]넌버벌 퍼포먼스<플라이팬(FLY-PAN)>,(주)화랑엔터테인먼트,2019-07-20~2019-07-21,KBS부산홀
365,2019-06-25,부산,공연,아동극,무료티켓,[부산]환상 가족 음악극<리틀뮤지션>(객석나눔),동래구문화시설사업소,2019-07-21~2019-07-21,동래문화회관 대극장
366,2019-07-17,경남,공연,콘서트,할인티켓,[경남]화제의 미스트롯트9 전국투어 콘서트 - 밀양,주식회사 케이팝뱅크,2019-07-21~2019-07-21,밀양아리랑아트센터 대공연장
367,2019-07-15,경기,공연,퍼포먼스,무료티켓,[경기]익스트림 퍼포먼스<플라잉> - 과천(객석나눔),마인드 달,2019-07-21~2019-08-02,국립과천과학관 어울림홀
368,2019-07-03,경기,공연,아동극,무료티켓,"[경기]2019 경기인형극제 in Suwon <울 줄 모르는 고양이, 치카치카 호랑이>(객석나눔) ",사단법인 경기인형극진흥회,2019-07-22~2019-07-22,경기도문화의전당 소공연장
369,2019-07-03,경기,공연,아동극,무료티켓,[경기]2019 경기인형극제 in Suwon <은혜갚은 까치>(객석나눔),사단법인 경기인형극진흥회,2019-07-22~2019-07-23,경기상상캠퍼스 M3 코워킹스페이스
370,2019-06-25,서울,공연,국악,무료티켓,[서울]제2회 마포국악페스티벌 <온고지신> -  판소리 인형극 수궁가(객석나눔),(재)마포문화재단,2019-07-23~2019-07-23,마포아트센터 플레이맥
371,2019-06-25,서울,공연,국악,할인티켓,[서울]제2회 마포국악페스티벌 <온고지신> -  판소리 인형극 수궁가,(재)마포문화재단,2019-07-23~2019-07-23,마포아트센터 플레이맥
372,2019-07-03,경기,공연,아동극,무료티켓,[경기]2019 경기인형극제 in Suwon <모먼츠>(객석나눔),사단법인 경기인형극진흥회,2019-07-23~2019-07-23,경기상상캠퍼스 대교육장
373,2019-06-25,서울,공연,국악,무료티켓,[서울]제2회 마포국악페스티벌 <온고지신> - 피리울림(객석나눔),(재)마포문화재단,2019-07-24~2019-07-24,마포아트센터 플레이맥
374,2019-06-25,서울,공연,국악,할인티켓,[서울]제2회 마포국악페스티벌 <온고지신> - 피리울림,(재)마포문화재단,2019-07-24~2019-07-24,마포아트센터 플레이맥
375,2019-07-03,경기,공연,아동극,무료티켓,[경기]2019 경기인형극제 in Suwon <드래곤>(객석나눔),사단법인 경기인형극진흥회,2019-07-24~2019-07-24,경기상상캠퍼스 M3 멀티벙커
376,2019-07-03,경기,공연,아동극,무료티켓,[경기]2019 경기인형극제 in Suwon <비발디의 사계>(객석나눔),사단법인 경기인형극진흥회,2019-07-24~2019-07-24,경기도문화의전당 소공연장
377,2019-07-12,울산,공연,기타,할인티켓,[울산]2019 매직갈라쇼,히든기획,2019-07-24~2019-07-24,울주문화예술회관
378,2019-07-09,서울,공연,연극,무료티켓,[서울]2019 제3회 미스터리 스릴러전<나의 이웃>(객석나눔),(주)문화공감공존,2019-07-24~2019-07-27,소극장 혜화당
379,2019-07-09,서울,공연,연극,할인티켓,[서울]2019 제3회 미스터리 스릴러전<나의 이웃>,(주)문화공감공존,2019-07-24~2019-07-28,소극장 혜화당
380,2019-07-16,서울,공연,클래식,무료티켓,[서울]조지현의 Beethoven Cycle 9회(객석나눔),(주)마스트미디어,2019-07-25~2019-07-25,예술의전당 IBK챔버홀
381,2019-07-05,서울,공연,전통,무료티켓,"[서울]우리 이야기, 꼭두 이야기(객석나눔)",국립국악원,2019-07-25~2019-07-26,국립국악원 예악당
382,2019-07-15,제주,공연,연극,할인티켓,[제주]공포연극<조각>,아이짬 컴퍼니,2019-07-25~2019-09-29,제주 세이레아트센터
383,2019-06-26,부산,공연,콘서트,할인티켓,[부산]2019 제이슨 므라즈 내한공연 - GOOD VIBES TOUR,(주)월드쇼마켓,2019-07-26~2019-07-26,벡스코 제1전시장
384,2019-07-16,서울,공연,콘서트,무료티켓,[서울]서울상경음악단 콘서트(객석나눔),한국블루스소사이어티,2019-07-26~2019-07-26,코리아블루스씨어터
385,2019-07-15,서울,공연,콘서트,무료티켓,[서울]악단광칠<미치고 팔짝 콘서트 - 신들의 파티>(객석나눔),문화상인 보부,2019-07-26~2019-07-27,현대카드 언더스테이지
386,2019-06-26,서울,공연,국악,무료티켓,[서울]제2회 마포국악페스티벌 <온고지신> - 감각의 발견 Sensation(객석나눔),(재)마포문화재단,2019-07-27~2019-07-27,마포아트센터 플레이맥
387,2019-06-26,서울,공연,국악,할인티켓,[서울]제2회 마포국악페스티벌 <온고지신> - 감각의 발견 Sensation,(재)마포문화재단,2019-07-27~2019-07-27,마포아트센터 플레이맥
388,2019-07-25,서울,공연,콘서트,무료티켓,[서울]최항석과 부기몬스터 콘서트 - 7월(객석나눔),한국블루스소사이어티,2019-07-27~2019-07-27,코리아블루스씨어터
389,2019-07-09,경기,공연,아동극,할인티켓,[경기]뮤지컬<요괴메카드 - 렛츠고! 요괴탐험대> - 부천,공연생각,2019-07-27~2019-07-28,부천 시민회관 대공연장
390,2019-07-17,경북,공연,콘서트,할인티켓,[경북]화제의 미스트롯트9 전국투어 콘서트 - 구미,주식회사 케이팝뱅크,2019-07-28~2019-07-28,구미시문화예술회관 대공연장
391,2019-07-04,서울,공연,국악,무료티켓,[서울]제2회 마포국악페스티벌 <온고지신> - 김홍도 화첩기행(객석나눔),(재)마포문화재단,2019-07-30~2019-07-30,마포아트센터 플레이맥
392,2019-07-04,서울,공연,국악,할인티켓,[서울]제2회 마포국악페스티벌 <온고지신> - 김홍도 화첩기행,(재)마포문화재단,2019-07-30~2019-07-30,마포아트센터 플레이맥
393,2019-07-29,서울,공연,연극,할인티켓,[서울]망원동 브라더스,(주)씨어터오,2019-07-30~2019-08-25,예그린씨어터
394,2019-07-04,서울,공연,국악,무료티켓,[서울]제2회 마포국악페스티벌 <온고지신> - 오메풍류(객석나눔),(재)마포문화재단,2019-08-01~2019-08-01,마포아트센터 플레이맥
395,2019-07-04,서울,공연,국악,할인티켓,[서울]제2회 마포국악페스티벌 <온고지신> - 오메풍류,(재)마포문화재단,2019-08-01~2019-08-01,마포아트센터 플레이맥
396,2019-07-19,서울,공연,클래식,무료티켓,[서울]코리안심포니오케스트라 <클래식 히어로Ⅱ>(객석나눔),(재)코리안심포니오케스트라,2019-08-01~2019-08-01,롯데콘서트홀
397,2019-07-30,서울,공연,아동극,무료티켓,[서울]뮤지컬<요괴메카드 - 렛츠고! 요괴탐험대> - 서울 앵콜(객석나눔),(주)하쿠나마타타,2019-08-01~2019-08-11,강동아트센터 대극장 한강
398,2019-07-04,서울,공연,국악,무료티켓,[서울]제2회 마포국악페스티벌 <온고지신> - 진명 X 연희(演戱) : STREET(객석나눔),(재)마포문화재단,2019-08-02~2019-08-02,마포아트센터 플레이맥
399,2019-07-04,서울,공연,국악,할인티켓,[서울]제2회 마포국악페스티벌 <온고지신> - 진명 X 연희(演戱) : STREET,(재)마포문화재단,2019-08-02~2019-08-02,마포아트센터 플레이맥
400,2019-07-25,서울,공연,콘서트,무료티켓,[서울]최항석과 부기몬스터 콘서트 - 8월(객석나눔),한국블루스소사이어티,2019-08-02~2019-08-02,코리아블루스씨어터
401,2019-07-29,서울,공연,아동극,무료티켓,[서울]가족뮤지컬<다함께 다방구>(객석나눔),위로팩토리,2019-08-03~2019-08-31,대학로 업스테이지(UP STAGE)
402,2019-07-04,서울,공연,국악,무료티켓,[서울]제2회 마포국악페스티벌 <온고지신> - 소리의 정원 - 추선(객석나눔),(재)마포문화재단,2019-08-06~2019-08-06,마포아트센터 플레이맥
403,2019-07-04,서울,공연,국악,할인티켓,[서울]제2회 마포국악페스티벌 <온고지신> - 소리의 정원 - 추선,(재)마포문화재단,2019-08-06~2019-08-06,마포아트센터 플레이맥
404,2019-07-24,인천,공연,클래식,무료티켓,[인천]2019 썸머페스티벌<제이에스 스트링 - 바로크 음악>(객석나눔),인천광역시문화예술회관,2019-08-06~2019-08-06,인천문화예술회관 소공연장
405,2019-07-16,서울,공연,국악,무료티켓,[서울]2019 칠석공연<은하수夜>(객석나눔),국립국악원,2019-08-07~2019-08-07,국립국악원 예악당
406,2019-07-22,부산,공연,클래식,무료티켓,[부산]2019 청소년 여름 음악회<클래식 바캉스 in 을숙도>(객석나눔),을숙도문화회관,2019-08-07~2019-08-07,을숙도문화회관 대공연장
407,2019-07-24,인천,공연,클래식,무료티켓,[인천]2019 썸머페스티벌<플러스 챔버 그룹 - 고전 음악>(객석나눔),인천광역시문화예술회관,2019-08-07~2019-08-07,인천문화예술회관 소공연장
408,2019-07-31,서울,공연,발레/무용,무료티켓,[서울]2019년 제4회 대한민국장애인국제무용제 (객석나눔),사단법인 빛소리친구들,2019-08-07~2019-08-11,아르코예술극장 대극장
409,2019-07-04,서울,공연,국악,무료티켓,[서울]제2회 마포국악페스티벌 <온고지신> 폐막공연 - 전통에 대한 경외(객석나눔),(재)마포문화재단,2019-08-08~2019-08-08,마포아트센터 아트홀맥
410,2019-07-04,서울,공연,국악,할인티켓,[서울]제2회 마포국악페스티벌 <온고지신> 폐막공연 - 전통에 대한 경외,(재)마포문화재단,2019-08-08~2019-08-08,마포아트센터 아트홀맥
411,2019-07-24,인천,공연,클래식,무료티켓,[인천]2019 썸머페스티벌<정재원 피아노 리사이틀 - 낭만 음악>(객석나눔),인천광역시문화예술회관,2019-08-08~2019-08-08,인천문화예술회관 소공연장
412,2019-07-05,서울,공연,클래식,할인티켓,[서울]슈투트가르트 페가소스 스트링 콰르텟,(재)마포문화재단,2019-08-09~2019-08-09,마포아트센터 아트홀맥
413,2019-07-24,인천,공연,클래식,무료티켓,[인천]2019 썸머페스티벌<인천 콘서트 챔버 - 근대 음악>(객석나눔),인천광역시문화예술회관,2019-08-09~2019-08-09,인천문화예술회관 소공연장
414,2019-07-23,경기,공연,퍼포먼스,무료티켓,[경기]가족무용음악극<TWO>(객석나눔),과천시시설관리공단,2019-08-10~2019-08-10,과천시민회관 소극장
415,2019-07-24,인천,공연,클래식,무료티켓,[인천]2019 썸머페스티벌<듀오 비비드 - 현대음악 : 로미오와 줄리엣>(객석나눔),인천광역시문화예술회관,2019-08-10~2019-08-10,인천문화예술회관 소공연장
416,2019-07-11,대구,공연,발레/무용,할인티켓,[대구]상트페테르부르크 국립 아이스발레단<잠자는 숲 속의 공주>,(주)예술기획 성우,2019-08-15~2019-08-16,계명아트센터
417,2019-07-30,서울,공연,클래식,할인티켓,[서울]서울튜티앙상블 독일순회공연 기념연주회,사단법인 서울튜티앙상블,2019-08-16~2019-08-16,예술의전당 IBK챔버홀
418,2019-07-18,서울,공연,아동극,할인티켓,[서울]감정코칭 가족뮤지컬<기분을 말해봐>,엔씨컴퍼니,2019-08-20~2019-09-01,한국방송회관 코바코홀
419,2019-07-31,부산,공연,전통,무료티켓,[부산]창극<지리산>(객석나눔),국립부산국악원,2019-08-23~2019-08-24,국립부산국악원 연악당(대극장)
420,2019-07-17,서울,공연,콘서트,할인티켓,"[서울]비트온탑 힙합콘서트 - 그레이, 스윙스, 창모, 애쉬아일랜드",제이티앤미디어(주),2019-08-24~2019-08-24,고려대학교 화정체육관
421,2019-07-17,서울,공연,콘서트,할인티켓,"[서울]컬러오브스테이지 - 하현우, 먼데이키즈, 로맨틱펀치",제이티앤미디어(주),2019-08-25~2019-08-25,고려대학교 화정체육관
422,2019-07-23,부산,공연,콘서트,무료티켓,[부산]2019 전영록 콘서트(객석나눔),(주)화랑엔터테인먼트,2019-08-25~2019-08-25,KBS부산홀
423,2019-07-23,부산,공연,콘서트,할인티켓,[부산]2019 전영록 콘서트,(주)화랑엔터테인먼트,2019-08-25~2019-08-25,KBS부산홀
424,2019-07-29,서울,공연,뮤지컬,할인티켓,[서울]겁쟁이 빌리,주식회사 에이엠컬처(AM Culture),2019-08-27~2019-09-29,예림당아트홀(구.웅진씽크빅 아트홀)
425,2019-07-22,울산,공연,연극,할인티켓,[울산]연희극<어느 골짜기에 관한 논쟁>,극단새벽,2019-08-31~2019-08-31,울산중구문화의전당 함월홀
