순번,등록일자,지역,유형,장프,티켓구분,공연명,단체명,공연기간,공연장소
199,2019-04-04,대전,공연,뮤지컬,무료티켓,[대전]뮤지컬<마흔즈음에> - 김광석을 노래하다(객석나눔),(주)화랑엔터테인먼트,2019-05-04~2019-05-04,한밭대학교 아트홀(구.한밭대학교문화예술관하모니홀)
200,2019-04-04,대전,공연,뮤지컬,할인티켓,[대전]뮤지컬<마흔즈음에> - 김광석을 노래하다,(주)화랑엔터테인먼트,2019-05-04~2019-05-04,한밭대학교 아트홀(구.한밭대학교문화예술관하모니홀)
201,2019-05-02,서울,공연,콘서트,무료티켓,[서울]최항석과 부기몬스터 단독 공연(객석나눔),한국블루스소사이어티(구),2019-05-04~2019-05-04,홍대 롤링홀 
202,2019-04-03,부산,공연,아동극,무료티켓,[부산]2019 어린이율동놀이뮤지컬<호비쇼> - 부산(객석나눔),(주)화랑엔터테인먼트,2019-05-04~2019-05-05,부산시민회관 소극장
203,2019-04-03,부산,공연,아동극,할인티켓,[부산]2019 어린이율동놀이뮤지컬<호비쇼> - 부산,(주)화랑엔터테인먼트,2019-05-04~2019-05-05,부산시민회관 소극장
204,2019-03-26,제주,공연,아동극,할인티켓,[제주]5월 가정의 달 특집 인형극<흉내쟁이 호랑이>,아이짬 컴퍼니,2019-05-04~2019-06-02,제주 세이레아트센터
205,2019-04-04,서울,공연,콘서트,할인티켓,"[서울]컬러오브스테이지 - 손태진, 박상돈, 허각, 스탠딩에그",(주)케이엔마스터엔터테인먼트,2019-05-06~2019-05-06,블루스퀘어 아이마켓홀
206,2019-04-05,서울,공연,아동극,할인티켓,[서울]가족뮤지컬<프린세스마리>,엔씨컴퍼니,2019-05-06~2019-06-16,한국방송회관 코바코홀
207,2019-04-29,서울,공연,연극,할인티켓,[서울]Y페스티벌<오딧세우스>,극단여행자,2019-05-09~2019-05-12,여행자극장
208,2019-04-15,부산,공연,클래식,무료티켓,"[부산]<제68회 을숙도 명품콘서트> - 말러, 죽음에서 희망으로(객석나눔)",을숙도문화회관,2019-05-10~2019-05-10,을숙도문화회관 대공연장 (부산)
209,2019-04-18,대구,공연,뮤지컬,할인티켓,[대구]뮤지컬<신흥무관학교>,(주)에스제이이엔티,2019-05-10~2019-05-12,수성아트피아 용지홀
210,2019-05-08,대구,공연,뮤지컬,무료티켓,[대구]뮤지컬<신흥무관학교>(객석나눔),(주)에스제이이엔티,2019-05-10~2019-05-12,수성아트피아 용지홀
211,2019-04-26,경북,공연,콘서트,할인티켓,"[경북]2018-9 '만9,900원의 행복' 서영은 콘서트<시즌3> - 경주",(주)늘픔이엔티,2019-05-11~2019-05-11,경주예술의전당 대공연장
212,2019-04-12,서울,공연,아동극,무료티켓,[서울]2019 어린이율동놀이뮤지컬<호비쇼> - 영등포(객석나눔),(주)화랑엔터테인먼트,2019-05-11~2019-05-12,영등포 아트홀
213,2019-04-12,서울,공연,아동극,할인티켓,[서울]2019 어린이율동놀이뮤지컬<호비쇼> - 영등포,(주)화랑엔터테인먼트,2019-05-11~2019-05-12,영등포 아트홀
214,2019-04-17,경기,공연,아동극,무료티켓,"[경기]판타지음악인형극<안녕, 도깨비> - 고양(객석나눔)",(재)고양문화재단(어울림누리),2019-05-11~2019-05-12,고양어울림누리 별모래극장
215,2019-04-17,경기,공연,아동극,할인티켓,"[경기]판타지음악인형극<안녕, 도깨비> - 고양",(재)고양문화재단(어울림누리),2019-05-11~2019-05-12,고양어울림누리 별모래극장
216,2019-05-08,서울,공연,연극,무료티켓,[서울]나는 살인자입니다(객석나눔),(재)국립극단,2019-05-11~2019-05-17,백성희장민호극장
217,2019-05-07,서울,공연,연극,무료티켓,[서울]명왕성에서(객석나눔),(재)서울문화재단 남산예술센터,2019-05-15~2019-05-26,남산예술센터 드라마센터
218,2019-04-29,서울,공연,연극,할인티켓,[서울]Y페스티벌<배따라기/동백꽃>,극단여행자,2019-05-16~2019-05-19,여행자극장
219,2019-05-15,서울,공연,연극,무료티켓,[서울]연극<달빛 크로키>(객석나눔),으랏차차스토리,2019-05-16~2019-06-30,대학로 세우아트센터 2관
